country_or_area,continent,year,value,category
Australia,Oceania,2014,393126.947,CO2 Emissions
Australia,Oceania,2013,396913.9365,CO2 Emissions
Australia,Oceania,2012,406462.8477,CO2 Emissions
Australia,Oceania,2011,403705.5283,CO2 Emissions
Australia,Oceania,2010,406200.9932,CO2 Emissions
Australia,Oceania,2009,408448.479,CO2 Emissions
Australia,Oceania,2008,404237.8282,CO2 Emissions
Australia,Oceania,2007,398816.4535,CO2 Emissions
Australia,Oceania,2006,391134.1009,CO2 Emissions
Australia,Oceania,2005,385581.1328,CO2 Emissions
Australia,Oceania,2004,381519.2616,CO2 Emissions
Australia,Oceania,2003,368345.9774,CO2 Emissions
Australia,Oceania,2002,361861.3879,CO2 Emissions
Australia,Oceania,2001,357653.3299,CO2 Emissions
Australia,Oceania,2000,349885.4331,CO2 Emissions
Australia,Oceania,1999,343713.9069,CO2 Emissions
Australia,Oceania,1998,334328.1426,CO2 Emissions
Australia,Oceania,1997,320439.1168,CO2 Emissions
Australia,Oceania,1996,311914.8198,CO2 Emissions
Australia,Oceania,1995,305162.5435,CO2 Emissions
Australia,Oceania,1994,293830.7091,CO2 Emissions
Australia,Oceania,1993,289142.2677,CO2 Emissions
Australia,Oceania,1992,284766.0927,CO2 Emissions
Australia,Oceania,1991,279741.639,CO2 Emissions
Australia,Oceania,1990,278265.8989,CO2 Emissions
Austria,Europe,2014,64262.56399,CO2 Emissions
Austria,Europe,2013,67957.12111,CO2 Emissions
Austria,Europe,2012,67698.65863,CO2 Emissions
Austria,Europe,2011,70327.16704,CO2 Emissions
Austria,Europe,2010,72531.82613,CO2 Emissions
Austria,Europe,2009,67682.72515,CO2 Emissions
Austria,Europe,2008,74066.25579,CO2 Emissions
Austria,Europe,2007,74268.11072,CO2 Emissions
Austria,Europe,2006,76934.95153,CO2 Emissions
Austria,Europe,2005,79588.50188,CO2 Emissions
Austria,Europe,2004,78388.99743,CO2 Emissions
Austria,Europe,2003,78023.9539,CO2 Emissions
Austria,Europe,2002,72126.59144,CO2 Emissions
Austria,Europe,2001,70299.47115,CO2 Emissions
Austria,Europe,2000,66274.74325,CO2 Emissions
Austria,Europe,1999,65660.13364,CO2 Emissions
Austria,Europe,1998,67047.25067,CO2 Emissions
Austria,Europe,1997,67455.89273,CO2 Emissions
Austria,Europe,1996,67667.2627,CO2 Emissions
Austria,Europe,1995,64202.15922,CO2 Emissions
Austria,Europe,1994,61189.1025,CO2 Emissions
Austria,Europe,1993,60790.75772,CO2 Emissions
Austria,Europe,1992,60432.24934,CO2 Emissions
Austria,Europe,1991,65903.51331,CO2 Emissions
Austria,Europe,1990,62297.16557,CO2 Emissions
Belarus,Europe,2014,60615.64573,CO2 Emissions
Belarus,Europe,2013,61510.98715,CO2 Emissions
Belarus,Europe,2012,60636.85139,CO2 Emissions
Belarus,Europe,2011,61128.40059,CO2 Emissions
Belarus,Europe,2010,61632.4927,CO2 Emissions
Belarus,Europe,2009,59596.20538,CO2 Emissions
Belarus,Europe,2008,63846.10379,CO2 Emissions
Belarus,Europe,2007,61563.88173,CO2 Emissions
Belarus,Europe,2006,62229.39888,CO2 Emissions
Belarus,Europe,2005,59664.73908,CO2 Emissions
